State/UT,Rural_Population,Rural_Population_Density,Urban_Population,Urban_Population_Density,Total_Population,Total_Population_Density,Rural_Population_%
Andhra Pradesh**,34256000,216,18343000,4453,52599000,323,65.1
Arunachal Pradesh,1141000,NA,381000,NA,1522000,18,75.0
Assam,29492000,382,5301000,4208,34793000,444,84.8
Bihar,107187000,1167,14708000,6327,121895000,1295,87.9
Chhattisgarh,21557000,164,7680000,2271,29237000,216,73.7
Goa,421000,145,1132000,1417,1553000,420,27.1
Gujarat,36380000,193,32791000,4429,69171000,352,52.6
Haryana,17374000,411,11839000,5991,29213000,661,59.5
Himachal Pradesh,6608000,119,754000,2784,7362000,132,89.8
Jharkhand,28313000,365,9802000,4359,38115000,478,74.3
Karnataka,37815000,204,28681000,4774,66496000,347,56.9
Kerala,10777000,345,24591000,3236,35368000,910,30.5
Madhya Pradesh,59718000,199,24037000,3103,83755000,272,71.3
Maharashtra,64555000,216,59121000,6508,123676000,402,52.2
Manipur,2145000,97,997000,5554,3142000,141,68.3
Meghalaya,2593000,117,671000,2372,3264000,146,79.4
Mizoram,550000,27,657000,1119,1207000,57,45.6
Nagaland,1263000,77,914000,3754,2177000,131,58.0
Odisha,37123000,244,8342000,2489,45465000,292,81.7
Punjab,17848000,373,12331000,4904,30179000,599,59.1
Rajasthan,57986000,173,20623000,3109,78609000,230,73.8
Sikkim,379000,54,293000,7660,672000,95,56.4
Tamil Nadu,36182000,311,39985000,2933,76167000,586,47.5
Telangana**,20401000,215,17135000,4588,37536000,380,54.4
Tripura,2576000,255,1466000,3741,4042000,385,63.7
Uttarakhand,7393000,141,3920000,4346,11313000,212,65.3
Uttar Pradesh,174804000,749,54127000,7157,228931000,950,76.4
West Bengal,62854000,752,34865000,6810,97719000,1101,64.3
"Andaman & Nicobar 
Islands",229000,28,170000,4483,399000,48,57.4
Chandigarh,4000,N App,1194000,10474,1198000,10509,0.3
"D & N Haveli and 
Daman & Diu",230000,458,808000,8054,1038000,1724,22.2
Delhi,148000,453,20171000,17441,20319000,13701,0.7
Jammu & Kashmir,9357000,58,3983000,3197,13340000,82,70.1
Ladakh,210000,4,86000,N App,296000,5,70.9
Lakshadweep,3000,373,65000,2961,68000,2267,4.4
Puducherry,468000,1395,1081000,6994,1549000,3161,30.2
All India,890329000,288,463049000,4530,1353378000,413,65.8
